text_es,label
"PORT-AU-PRINCE, Haití (Reuters) - Una nueva misión respaldada por las Naciones Unidas para apoyar el sistema de justicia de Haití ha tenido una reacción mixta de los políticos locales y grupos de la sociedad civil después de las críticas de larga data de su predecesor. El gobierno de Jovenel Moise ha acogido con satisfacción el despliegue de la misión de la ONU para el Apoyo a la Justicia en Haití (MINUJUSTH) ante el escepticismo de la oposición. Una misión de mantenimiento de la paz de la ONU en Haití tiene la intención de restaurar la estabilidad después de un golpe de 2004 terminó en octubre después de 13 años. Conocida como MINUSTAH, la misión saliente fue acosada por controversias, incluyendo la introducción de cólera en la isla y las acusaciones de abuso sexual. La nueva misión se centrará específicamente en el sistema de justicia y la policía. Mamadou Diallo, representante especial adjunto de la ONU en Haití y jefe interino de la nueva misión, dijo que su objetivo era construir sobre el trabajo de la MINUSTAH para fortalecer la seguridad, reforzar la democracia y las instituciones de la defensa de la UE, dijo que el gobierno de la UE no tiene más que la ley.",1
"(Reuters) - CNN, la división de noticias de Time Warner Inc, dijo el miércoles que su decisión de publicar “informes cuidadosamente basados” en documentos de inteligencia no verificados sobre el presidente electo Donald Trump es “vastamente diferente de la decisión de BuzzFeed de publicar memorandos no probados”. La declaración de CNN vino después de que Trump llamara al medio de noticias “noticias falsas” y se negara a responder a las preguntas de un reportero de CNN en su primera conferencia de noticias formal desde su victoria electoral del 8 de noviembre. BuzzFeed publicó el martes una historia sobre un dossier de documentos que dijo que no estaban verificados y “posiblemente inverificables” acusaciones de contacto entre los ayudantes de Trump y los operativos rusos. Incluidos en los documentos estaban las afirmaciones de que la inteligencia rusa había comprometido información sobre Trump. El CEO de BuzzFeed, Jonah Peretti, en un memorando a los empleados el miércoles, defendió la decisión de publicar el dossier, refiriéndose a él como un “documento noticioso”.",1
"WASHINGTON (Reuters) - El máximo demócrata del Senado de Estados Unidos dijo que las negociaciones bipartidistas para proteger a los indocumentados que emigraron a los Estados Unidos cuando eran niños estaban haciendo muy buenos progresos, y que esperaba que un proyecto de ley pudiera limpiar el Congreso a finales de año. “Hay muy buenas negociaciones entre demócratas y republicanos”, dijo el líder demócrata del Senado, Chuck Schumer, a periodistas. “Estamos muy esperanzados de que haya apoyo bipartidista para que podamos hacer DACA para finales de año”, agregó, refiriéndose a la legislación para reemplazar el programa de Acción Diferida para Llegadas a la Infancia que el Presidente Donald Trump está terminando.",1
"Los legisladores se pelearon en el parlamento de Uganda por un segundo día consecutivo por un movimiento ferozmente disputado para cambiar la constitución para permitir que el presidente Yoweri Museveni se postulen a la reelección después de 75 años. Los parlamentarios intercambiaron golpes y patadas, con algunos usando micrófonos como armas crudas en el melee, y por lo menos dos mujeres legisladoras fueron llevadas a cabo de la cámara después de colapsar, dijo un periodista de Reuters. Al menos 25 parlamentarios opuestos a la propuesta de enmienda constitucional para prolongar el mandato de Museveni fueron expulsados por la fuerza por orden del portavoz para involucrarse en la lucha el martes. Todos los líderes del parlamento de EE.UU. informaron a Reuters, añadiendo que los eventos del partido gobernante Raphael Magyezi sobre los derechos de los EE.UU. dijeron que el gobierno de EE.UU. debería presentar un proyecto de ley para levantar el límite de edad de los candidatos presidenciales.",1
"WASHINGTON (Reuters) - Opositores de una propuesta para crear un impuesto fronterizo de EE.UU. sobre productos importados están apuntando a legisladores en sus estados de origen durante las próximas dos semanas mientras el Congreso está en receso, según los organizadores del esfuerzo de cabildeo. La coalición fiscal anti-fronteriza, conocida como Americans for Affordable Products, incluye grandes corporaciones que requieren importaciones como automatrices y gigantes minoristas como Target (TGT.N) , Best Buy (BBBY.N) y Walmart (WMT.N). Los opositores fiscales se dirigirán a 40 miembros del Congreso en 11 estados, dijo el portavoz de la coalición Joshua Baca. “Estamos hablando con empresas, asociaciones locales, teniendo una franca conversación con ellos acerca de lo tonto que es esta idea”, dijo Baca, su grupo argumentará que aumentará los precios de los consumidores.",1
"PARÍS (Reuters) - El ministro de Relaciones Exteriores de Qatar dijo el lunes que el presidente estadounidense Donald Trump estaba intensificando los esfuerzos para una solución diplomática a la crisis en el Golfo. Trump inicialmente tomó una línea dura contra Qatar, llamándolo un patrocinador de alto nivel del terrorismo después de Arabia Saudita, los Emiratos Árabes Unidos, Bahréin y Egipto sacudieron la región cortando los lazos políticos y comerciales con el pequeño estado en junio. La acción suspendió las rutas aéreas y marítimas con el mayor exportador mundial de gas natural licuado, que es el hogar de la mayor base militar estadounidense de la región. El jeque Mohammed bin Abdulrahman al-Thani dijo a los reporteros en París que había visto un mayor deseo de Trump de ser un punto de vista a través de la discusión. Él ha declarado muy claramente que no queremos ver conflicto entre amigos.",1
"La policía danesa dijo el sábado que los buzos habían encontrado la cabeza y las piernas del periodista sueco Kim Wall, que murió en circunstancias misteriosas en un submarino casero de un inventor. Peter Madsen ha sido acusado de matar al periodista sueco que desapareció después de que ella se fuera en un viaje con él en su submarino el 10 de agosto. Él niega los cargos. Madsen, un danés, fue arrestado después de que su submarino se hundiera y fue rescatado. Su abogado Betina Hald Engmark le dijo a Reuters que había sido informada del desarrollo, pero que no había recibido ningún material ni documentación y se había negado más comentarios. La policía identificó a una mujer sin cabeza torso que se lavó a tierra en Copenhague más tarde en agosto como Wall s, pero una causa de muerte no ha sido determinada. Madsen ha dicho que Wall murió en un accidente cuando fue golpeada por una cubierta pesada a bordo de su submarino. El sábado un portavoz de la policía dijo a los reporteros en Copenhague que no había fracturas en el cráneo de Wall s, pero una causa de la policía lo encontró en la que la policía defendía.",1
"WASHINGTON (Reuters) - La Casa Blanca trató de desactivar las acusaciones republicanas de hipocresía contra el presidente Barack Obama sobre los candidatos a la Corte Suprema el miércoles cuando activistas liberales se pusieron en acción y el máximo demócrata del Senado predijo una “cueva en” republicana. La Casa Blanca acentuó la presión sobre el Senado liderado por los republicanos para permitir audiencias justas y una votación oportuna sobre la inminente selección de Obama para llenar la vacante de la corte que dejó la muerte del presidente conservador Antonin Scalia. El candidato del presidente demócrata podría cambiar el equilibrio de poder en la corte superior de EE.UU. - la muerte de Scalia lo dejó con cuatro jueces conservadores y cuatro liberales - y una monumental lucha se está preparando sobre la elección de Obama para el nombramiento de la junta directiva. Los republicanos, liderados por el líder de la mayoría senatorial Mitch McConnell, han dicho que la Corte Suprema debe permanecer vacante hasta que el sucesor de Obama tome posesión de una corte el próximo mes de enero, para que los votantes tengan en cuenta en las audiencias del Senado, el presidente de EE.UU.",1
"BRUSELAS (Reuters) - La primera ministra luxemburguesa dijo el jueves que la capacidad de la homóloga británica Theresa May para negociar la retirada de su país de la Unión Europea se complica por su necesidad de la aprobación del Parlamento en casa. Esto no es bueno para Theresa May porque el orden del día no va a moverse, Xavier Bettel dijo a los periodistas al llegar a una cumbre de líderes europeos en Bruselas. Tan pronto como negocie algo, tendrá que volver a Londres y obtener la aprobación del Parlamento.",1
"WASHINGTON (Reuters) - El fiscal general de EE.UU. Jeff Sessions dijo en una carta el sábado que comparecerá ante el Comité de Inteligencia del Senado el martes para tratar asuntos que el ex director del FBI James Comey presentó esta semana en testimonio ante el mismo panel. En una carta vista por Reuters, Sessions dijo al senador Richard Shelby, presidente del Subcomité de Apropiaciones del Senado sobre Comercio, Justicia, Ciencia y Agencias Relacionadas, que el comité de inteligencia es el lugar “más apropiado” para tratar asuntos que surgieron durante la audiencia de Comey el jueves. La carta no decía si Sessions planeaba dar testimonio público o aparecer ante el panel a puertas cerradas. “A la luz de los informes sobre el Sr. Comey, el reciente testimonio ante el Comité Selecto de Inteligencia del Senado, es importante que tenga una oportunidad de abordar estos asuntos en el foro apropiado”, dijo en la carta. El comité “es el foro más apropiado para tales asuntos, ya que ha estado llevando a cabo una investigación sobre el caso de los miembros del comité de EE.UU.",1
